;V1;V2;V3;V4;V5
1;0.00098;0.265;0;0;0
2;0.00196;0.265;0;0;0
3;0.00294;0.265;0;0;0
4;0.00392;0.265;0;0;0
5;0.0049;0.265;0;0;0
6;0.00588;0.265;0;0;0
7;0.00686;0.265;0;0;0
8;0.00784;0.265;0;0;0
9;0.00882;0.265;0;0;0
10;0.0098;0.275;0;0;0
11;0.01078;0.275;0;0;0
12;0.01176;0.275;0;0;0
13;0.01274;0.275;0;0;0
14;0.01372;0.275;0;0;0
15;0.0147;0.275;0;0;0
16;0.01568;0.275;0;0;0
17;0.01666;0.275;0;0;0
18;0.01764;0.275;0;0;0
19;0.01862;0.275;0;0;0
20;0.0196;0.275;0;0;0
21;0.02058;0.275;0;0;0
22;0.02156;0.275;0;0;0
23;0.02254;0.275;0;0;0
24;0.02352;0.275;0;0;0
25;0.0245;0.275;0;0;0
26;0.02548;0.285;0;0;0
27;0.02646;0.285;0;0;0
28;0.02744;0.285;0;0;0
29;0.02842;0.285;0;0;0
30;0.0294;0.285;0;0;0
31;0.03038;0.285;0;0;0
32;0.03136;0.285;0;0;0
33;0.03234;0.285;0;0;0
34;0.03332;0.285;0;0;0
35;0.0343;0.285;0;0;0
36;0.03528;0.285;0;0;0
37;0.03626;0.285;0;0;0
38;0.03724;0.285;0;0;0
39;0.03822;0.285;0;0;0
40;0.0392;0.285;0;0;0
41;0.04018;0.295;0;0;0
42;0.04116;0.295;0;0;0
43;0.04214;0.295;0;0;0
44;0.04312;0.295;0;0;0
45;0.0441;0.295;0;0;0
46;0.04508;0.295;0;0;0
47;0.04606;0.295;0;0;0
48;0.04704;0.295;0;0;0
49;0.04802;0.295;0;0;0
50;0.049;0.295;0;0;0
51;0.04998;0.295;0;0;0
52;0.05096;0.295;0;0;0
53;0.05194;0.295;0;0;0
54;0.05292;0.295;0;0;0
55;0.0539;0.305;0;0;0
56;0.05488;0.305;0;0;0
57;0.05586;0.305;0;0;0
58;0.05684;0.305;0;0;0
59;0.05782;0.305;0;0;0
60;0.0588;0.305;0;0;0
61;0.05978;0.305;0;0;0
62;0.06076;0.305;0;0;0
63;0.06174;0.305;0;0;0
64;0.06272;0.305;0;0;0
65;0.0637;0.305;0;0;0
66;0.06468;0.305;0;0;0
67;0.06566;0.305;0;0;0
68;0.06664;0.315;0;0;0
69;0.06762;0.315;0;0;0
70;0.0686;0.315;0;0;0
71;0.06958;0.315;0;0;0
72;0.07056;0.315;0;0;0
73;0.07154;0.315;0;0;0
74;0.07252;0.315;0;0;0
75;0.0735;0.315;0;0;0
76;0.07448;0.315;0;0;0
77;0.07546;0.315;0;0;0
78;0.07644;0.315;0;0;0
79;0.07742;0.315;0;0;0
80;0.0784;0.325;0;0;0
81;0.07938;0.325;0;0;0
82;0.08036;0.325;0;0;0
83;0.08134;0.325;0;0;0
84;0.08232;0.325;0;0;0
85;0.0833;0.325;0;0;0
86;0.08428;0.325;0;0;0
87;0.08526;0.325;0;0;0
88;0.08624;0.325;0;0;0
89;0.08722;0.325;0;0;0
90;0.0882;0.325;0;0;0
91;0.08918;0.335;0;0;0
92;0.09016;0.335;0;0;0
93;0.09114;0.335;0;0;0
94;0.09212;0.335;0;0;0
95;0.0931;0.335;0;0;0
96;0.09408;0.335;0;0;0
97;0.09506;0.335;0;0;0
98;0.09604;0.335;0;0;0
99;0.09702;0.335;0;0;0
100;0.098;0.335;0;0;0
101;0.09898;0.335;0;0;0
102;0.09996;0.345;0;0;0
103;0.10094;0.345;0;0;0
104;0.10192;0.345;0;0;0
105;0.1029;0.345;0;0;0
106;0.10388;0.345;0;0;0
107;0.10486;0.345;0;0;0
108;0.10584;0.345;0;0;0
109;0.10682;0.345;0;0;0
110;0.1078;0.345;0;0;0
111;0.10878;0;0.345;3.815;3.845
112;0.10976;0;0.355;3.775;3.875
113;0.11074;0;0.355;3.765;3.885
114;0.11172;0;0.355;3.745;3.905
115;0.1127;0;0.355;3.735;3.915
116;0.11368;0;0.355;3.725;3.925
117;0.11466;0;0.355;3.715;3.935
118;0.11564;0;0.355;3.705;3.935
119;0.11662;0;0.355;3.695;3.945
120;0.1176;0;0.355;3.685;3.955
121;0.11858;0;0.355;3.675;3.965
122;0.11956;0;0.365;3.675;3.965
123;0.12054;0;0.365;3.665;3.975
124;0.12152;0;0.365;3.655;3.985
125;0.1225;0;0.365;3.645;3.985
126;0.12348;0;0.365;3.645;3.995
127;0.12446;0;0.365;3.635;3.995
128;0.12544;0;0.365;3.635;4.005
129;0.12642;0;0.365;3.625;4.005
130;0.1274;0;0.365;3.615;4.015
131;0.12838;0;0.375;3.615;4.015
132;0.12936;0;0.375;3.605;4.025
133;0.13034;0;0.375;3.605;4.025
134;0.13132;0;0.375;3.595;4.035
135;0.1323;0;0.375;3.585;4.035
136;0.13328;0;0.375;3.585;4.035
137;0.13426;0;0.375;3.575;4.045
138;0.13524;0;0.375;3.575;4.045
139;0.13622;0;0.385;3.565;4.055
140;0.1372;0;0.385;3.565;4.055
141;0.13818;0;0.385;3.555;4.065
142;0.13916;0;0.385;3.555;4.065
143;0.14014;0;0.385;3.545;4.065
144;0.14112;0;0.385;3.545;4.075
145;0.1421;0;0.385;3.535;4.075
146;0.14308;0;0.385;3.535;4.075
147;0.14406;0;0.395;3.525;4.085
148;0.14504;0;0.395;3.525;4.085
149;0.14602;0;0.395;3.515;4.095
150;0.147;0;0.395;3.515;4.095
151;0.14798;0;0.395;3.505;4.095
152;0.14896;0;0.395;3.505;4.105
153;0.14994;0;0.395;3.495;4.105
154;0.15092;0;0.395;3.495;4.105
155;0.1519;0;0.405;3.485;4.115
156;0.15288;0;0.405;3.485;4.115
157;0.15386;0;0.405;3.475;4.115
158;0.15484;0;0.405;3.475;4.125
159;0.15582;0;0.405;3.465;4.125
160;0.1568;0;0.405;3.465;4.125
161;0.15778;0;0.405;3.455;4.135
162;0.15876;0;0.415;3.455;4.135
163;0.15974;0;0.415;3.455;4.135
164;0.16072;0;0.415;3.445;4.145
165;0.1617;0;0.415;3.445;4.145
166;0.16268;0;0.415;3.435;4.145
167;0.16366;0;0.415;3.435;4.155
168;0.16464;0;0.415;3.425;4.155
169;0.16562;0;0.425;3.425;4.155
170;0.1666;0;0.425;3.415;4.155
171;0.16758;0;0.425;3.415;4.165
172;0.16856;0;0.425;3.405;4.165
